# North Rhine-Westphalia: InVeKoS crop code -> render group.
# Read off the Teilschlaege WFS, see tools/gen_crop_codes.py.
# Columns: code, render group, detail label (as the service writes it),
# InVeKoS group, share of the sampled parcels in per mille.
648,vegetable,Fenchel (Gemüse/Körner),GM,0.04
649,vegetable,Gemüserübsen,GM,0.00
650,vegetable,beetweise Kräuter/Gewürz ab 5,SF,0.07
651,vegetable,Anethum (Dill, Gurkenkraut),HP,0.07
652,vegetable,Kerbel (auch Wiesenkerbel),HP,0.00
653,vegetable,Bibernellen (Anis),HP,0.00
654,vegetable,Kümmel,HP,0.00
656,vegetable,Schwarzkümmel,HP,0.01
657,vegetable,Koriander,HP,0.04
658,vegetable,Liebstöckel/Maggikraut,HP,0.01
659,vegetable,Petersilie,HP,0.19
660,vegetable,Basilikum,HP,0.01
661,vegetable,Rosmarin,HP,0.00
662,vegetable,Salbei (auch Buntschopf),HP,0.00
664,vegetable,Oregano (Majoran, Dost),HP,0.01
665,vegetable,Bohnenkräuter,HP,0.00
667,vegetable,Verbenen (echtes Eisenkraut),HP,0.00
668,vegetable,Lavendel,HP,0.01
669,vegetable,Thymian (auch Gartenthymian),HP,0.01
670,vegetable,Melissen (Zitronenmelisse),HP,0.00
671,vegetable,Enziane,HP,0.00
672,vegetable,Minzen (Pfefferm., Grüne M.),HP,0.03
674,vegetable,Ringelblumen,HP,0.01
675,vegetable,Sonnenhut (Schmalbl., Purpur),HP,0.01
677,vegetable,Kamillen (Echte Kamille),HP,0.00
678,vegetable,Schafgarben (Gelbe Schafgarbe),HP,0.00
680,vegetable,Johanniskräuter (Echtes J.),HP,0.00
681,vegetable,Frauenmantel,HP,0.00
684,vegetable,Löwenzahn,HP,0.00
685,vegetable,Engelwurzen,HP,0.00
687,vegetable,echte Arnika (Arnica montana),HP,0.01
690,vegetable,beetweise Küchenkräuter bis 4,SF,0.01
701,other,Hanf,SF,0.03
702,grassland,Rollrasen,SF,0.27
704,grassland,Glanzgräser,SF,0.00
706,other,Mohn (Schlafmohn, Backmohn),SF,0.03
707,vegetable,Erdbeeren,SF,1.75
708,other,Färberdisteln,SF,0.01
709,other,Brennnesseln (Große Brennn.),SF,0.00
710,other,Färberkrapp (Rubia tinctorum),SF,0.00
